"Authors","No","Year","Cites","DOI","Title"
"L. Sbricoli","1","2020","212","10.3390/ma13030786","Selection of collagen membranes for bone regeneration"
"Y. Ren","2","2022","153","10.3390/ijms232314987","Barrier Membranes for GBR: Focus on Recent Advances in Collagen Membranes"
"S. Guo","3","2020","63","10.1080/09205063.2019.1680927","Enhanced effects of electrospun collagen-chitosan nanofiber membranes on GBR"
"B. Allan","4","2021","59","10.1089/ten.tea.2020.0140","Collagen membrane for GBR in dental and orthopedic applications"
"M. Atef","5","2020","56","10.1111/cid.12892","Horizontal ridge augmentation using native collagen membrane vs titanium mesh"
"M. Toledano","6","2020","50","10.3390/POLYM12061290","Differential biodegradation kinetics of collagen membranes"
"Y. Wu","7","2022","49","10.1016/j.actbio.2022.02.004","Optimizing bio-degradability through cross-linking and zinc-doped HAp"
"Y. He","8","2022","36","10.1016/j.ijbiomac.2021.12.155","Fabrication of oxidized sodium alginate-collagen bilayer membrane"
"M. Vallecillo-Rivas","9","2021","34","10.3390/polym13173007","Collagen origin influences degradation kinetics of GBR membranes"
"M.C. Wan","10","2021","34","10.1016/j.actbio.2021.09.039","Mitochondrial dynamics for osteogenic differentiation on collagen membranes"
"L. Yu","11","2020","33","10.1016/j.actbio.2020.05.041","Biomimetic bone regeneration using angle-ply collagen membrane"
"L. Chen","12","2022","32","10.3390/polym14132532","Collagen Membrane Derived from Fish Scales for Bone Tissue Engineering"
"V. Iorio-Siciliano","13","2020","28","10.1007/s00784-019-02979-w","Dimensional changes following alveolar ridge preservation with collagen membrane"
"H. Su","14","2021","28","10.1016/j.dental.2020.10.011","Comparison of electrospun chitosan membranes and collagen membrane in vivo"
"I. Hong","15","2020","26","10.5051/jpis.2020.50.1.14","Bone regeneration using BCP supplemented UV-crosslinked collagen membrane"
